id,title,maintenance,service,operation,lifetime,rebuilding
300,Baukosten allgemein,0,0,0,40,0.33
310,Baugrube,0,0,0,99,1
320,Gründung ohne KG 327 Drainage,0,0,0,99,1
327,Drainage,0.006,0.001,0.007,25,1
331,Außenwände,0,0,0,99,1
333,Außenstützen,0.006,0.001,0.007,99,1
334,Außentüren und -fenster,0.006,0.001,0.007,40,1
335,Außenwandbekleidungen außen,0.006,0.001,0.007,25,1
339,Außenwände sonstiges,0,0,0,99,1
341,Tragende Innenwände,0,0,0,99,1
342,Nichttragende Innenwände,0,0,0,99,1
344,Innentüren und -fenster,0.006,0.001,0.007,40,1
345,Innenwandbekleidungen,0.006,0.001,0.007,25,1
346,Elementierte Innenwände,0.006,0.001,0.007,99,1
349,Innenwände sonstiges,0,0,0,99,1
351,Deckenkonstruktion,0,0,0,99,1
352,Deckenbeläge,0.006,0.001,0.007,25,1
353,Deckenbekleidungen,0,0,0,25,1
359,Decken sonstiges,0,0,0,99,1
361,Dachkonstruktion,0,0,0,99,1
362,Dachfenster,0.006,0.001,0.007,40,1
363,Dachbeläge,0.006,0.001,0.007,99,1
364,Dachbekleidungen,0.006,0.001,0.007,40,1
369,Dächer sonstiges,0.006,0.001,0.007,99,1
379,Baukonstruktive Einbauten,0,0,0,99,1
391,Baustelleneinrichtung,0,0,0,99,1
392,Gerüste,0,0,0,99,1
400,Technische Anlagen allgemein,0.006,0.007,0.013,25,0.67
411,Abwasseranlage,0.006,0.007,0.013,99,1
412,Wasseranlagen,0.006,0.007,0.013,99,1
419,Sonstiges ,0.006,0.007,0.013,99,1
421,Wärmepumpe mit Zubehör,0.005,0.009,0.014,25,1
422,Wärmeverteilnetze mit Kühlen,0.01,0,0.01,99,1
423,Kapillar-Rohrmatten Heizen Kühlen,0.01,0.01,0.02,25,1
429,solarthermische Anlagen,0.02,0.01,0.03,25,1
431,Lufttechnische Anlage,0.024,0.021,0.045,25,1
442,Eigenstromversorgung,0.007,0.013,0.02,25,1
443,Niederspannungsschaltanlagen,0.007,0.013,0.02,25,1
444,Niederspannungsinstallationsanlagen,0.007,0.013,0.02,25,1
445,Beleuchtungsanlage,0.007,0.013,0.02,25,1
446,Blitz- und erdungsanlagen,0.007,0.013,0.02,25,1
449,Sonstiges,0.007,0.013,0.02,25,1
451,TK-Netze,0.003,0.007,0.01,25,1
452,Such- und Signalanlagen,0.003,0.007,0.01,25,1
455,Antennenanlagen,0.003,0.007,0.01,25,1
456,Gefahrenmelde- und Alarmanlagen ,0.003,0.007,0.01,25,1
461,Aufzugsanlage,0.011,0.021,0.032,25,1
481,Automationssysteme,0.005,0.005,0.01,25,1
483,Managmenet- und Bedieneinrichtungen,0.003,0.0015,0.0045,25,1
475,Feuerlöschanlagen,0,0,0,25,1
499,Sonstige Maßnahmen für technische Anlagen,0,0,0,25,1
